leto;drzava;tekmovalec;pesem
2023;Albanija;Albina & Familja Kelmendi;Duje
2023;Izrael;Noa Kirel;Unicorn
2023;Avstrija;Teya & Salena;Who The Hell Is Edgar?
2023;Srbija;Luke Black;Samo mi se spava
2023;Italija;Marco Mengoni;Due vite
2023;Češka;Vesna;My Sister's Crown
2023;Ciper;Andrew Lambrou;Break a Broken Heart
2023;Armenija;Brunette;Future Lover
2023;Malta;The Busker;Dance (Our Own Party)
2023;Latvija;Sudden Lights;Aijā
2023;Gruzija;Iru;Echo
2023;Moldavija;Pasha Parfeni;Soarele și Luna
2023;Hrvaška;Let 3;Mama ŠČ!
2023;San Marino;Piqued Jacks;Like An Animal
2023;Belgija;Gustaph;Because of You
2023;Azerbajdžan;TuralTuranX;Tell Me More
2023;Francija;La Zarra;Évidemment
2023;Španija;Blanca Paloma;Eaea
2023;Estonija;Alika;Bridges
2023;Litva;Monika Linkytė;Stay
2023;Avstralija;Voyager;Promise
2023;Norveška;Alessandra;Queen of Kings
2023;Nizozemska;Mia Nicolai & Dion Cooper;Burning Daylight
2023;Poljska;Blanka;Solo
2023;Švedska;Loreen;Tattoo
2023;Romunija;Theodor Andrei;D.G.T. (Off and On)
2023;Islandija;Diljá;Power
2023;Finska;Käärijä;Cha Cha Cha
2023;Velika Britanija;Mae Muller;I Wrote A Song
2023;Irska;Wild Youth;We Are One
2023;Nemčija;Lord Of The Lost;Blood & Glitter
2023;Ukrajina;Tvorchi;Heart of Steel
2023;Slovenija;Joker Out;Carpe Diem
2023;Danska;Reiley;Breaking My Heart
2023;Portugalska;Mimicat;Ai Coração
2023;Grčija;Victor Vernicos;What They Say
2023;Švica;Remo Forrer;Watergun
